Time,CO2,CO,O2,H2,N2
2/11/2018 1:00,0.107018323,0.326955933,0.004394521,0.021416893,0.54021433
2/11/2018 2:00,0.104047939,0.324005663,0.004578313,0.021331916,0.54603617
2/11/2018 3:00,0.108532026,0.323708587,0.004407335,0.020361232,0.54299082
2/11/2018 4:00,0.107648848,0.32799101,0.004559965,0.020577567,0.539222611
2/11/2018 5:00,0.109421874,0.327664535,0.004387554,0.020678168,0.537847869
2/11/2018 6:00,0.108282247,0.336611911,0.004592525,0.02026991,0.530243407
2/11/2018 7:00,0.111991768,0.330827915,0.004406523,0.018946395,0.533827398
2/11/2018 8:00,0.112005296,0.320938698,0.004538725,0.019636236,0.542881046
2/11/2018 9:00,0.108744488,0.322237482,0.00445218,0.019695637,0.544870212
2/11/2018 10:00,0.112621305,0.316114002,0.004578638,0.021311595,0.545374461
2/11/2018 11:00,0.109152981,0.317651488,0.004489042,0.023403751,0.545302737
2/11/2018 12:00,0.110858128,0.32560138,0.004608952,0.022149628,0.536781912
2/11/2018 13:00,0.110807868,0.31839224,0.004485427,0.023554451,0.542760014
2/11/2018 14:00,0.072283995,0.328212226,0.004678786,0.030543208,0.564281785
6/11/2018 4:00,0.109138107,0.312235101,0.004710607,0.019249758,0.554666427
6/11/2018 5:00,0.113832191,0.30541612,0.004674032,0.018035315,0.558042343
6/11/2018 6:00,0.107929364,0.29280208,0.004772168,0.018643687,0.575852702
6/11/2018 7:00,0.105065445,0.285216763,0.005017543,0.020934859,0.58376539
6/11/2018 8:00,0.107678235,0.297625894,0.004483538,0.021192776,0.569019557
6/11/2018 9:00,0.109119385,0.287640046,0.004705064,0.019045725,0.57948978
6/11/2018 10:00,0.114469736,0.279861215,0.004525321,0.020473141,0.580670588
6/11/2018 11:00,0.102261387,0.264148009,0.005436451,0.02113474,0.607019413
6/11/2018 12:00,0.093880149,0.26781563,0.004598499,0.01953599,0.614169731
6/11/2018 13:00,0.093211871,0.271084611,0.006143364,0.020739769,0.608820384
6/11/2018 14:00,0.099046044,0.27501339,0.004609937,0.019721386,0.601609243
6/11/2018 15:00,0.095714635,0.265283953,0.006946113,0.018443187,0.613612112
6/11/2018 17:00,0.085417392,0.283321531,0.006786584,0.021533872,0.602940621
6/11/2018 18:00,0.083729419,0.291594222,0.00470398,0.023342435,0.596629943
6/11/2018 19:00,0.090369074,0.27705575,0.00663621,0.023993526,0.601945439
6/11/2018 20:00,0.087819321,0.289029501,0.004678181,0.026005695,0.592467301
6/11/2018 21:00,0.093466035,0.277346867,0.006404436,0.024618862,0.5981638
6/11/2018 22:00,0.059637531,0.300245641,0.004808977,0.02658128,0.608726572
7/11/2018 8:00,0.096538245,0.278447125,0.004596668,0.020831574,0.599586388
7/11/2018 9:00,0.096610255,0.272522458,0.005922275,0.020165823,0.604779189
7/11/2018 10:00,0.096715542,0.272858646,0.004626642,0.021800324,0.603998847
7/11/2018 11:00,0.098513689,0.27291714,0.006477102,0.020137,0.60195507
7/11/2018 12:00,0.093515833,0.27692495,0.004685431,0.023158923,0.601714862
7/11/2018 13:00,0.095995588,0.272596925,0.006876652,0.022832166,0.601698669
7/11/2018 14:00,0.095751099,0.278327601,0.004699908,0.021519399,0.599701993
7/11/2018 15:00,0.091491767,0.282324238,0.00709633,0.021525876,0.597561788
7/11/2018 16:00,0.09088829,0.286849019,0.004710636,0.022874547,0.594677508
7/11/2018 17:00,0.090530766,0.27928321,0.006738957,0.024339067,0.599107999
7/11/2018 18:00,0.092091799,0.280493502,0.004703195,0.024078495,0.598633009
7/11/2018 19:00,0.092632169,0.277211516,0.006570795,0.022661635,0.600923886
8/11/2018 3:00,0.097849635,0.26725785,0.006177722,0.022234778,0.606480015
8/11/2018 4:00,0.078748573,0.287953966,0.004731611,0.02514164,0.60342421
10/11/2018 17:00,0.098966777,0.278080871,0.004584259,0.014302222,0.604065871
10/11/2018 18:00,0.101208691,0.271249519,0.005629852,0.013679695,0.608232242
10/11/2018 19:00,0.097957921,0.274161915,0.004591536,0.015024042,0.608264586
10/11/2018 20:00,0.096306082,0.271445582,0.005338972,0.016124057,0.610785305
10/11/2018 21:00,0.094423642,0.27872439,0.004629147,0.016152585,0.606070236
10/11/2018 22:00,0.090494845,0.284314476,0.005767837,0.01608581,0.603337032
10/11/2018 23:00,0.094007426,0.281112839,0.004619156,0.017093263,0.603167316
11/11/2018 0:00,0.090869488,0.27954701,0.005532424,0.017267389,0.606783689
11/11/2018 1:00,0.09024237,0.284243295,0.004658782,0.017699662,0.60315589
11/11/2018 2:00,0.088046953,0.284276237,0.004790686,0.017251525,0.605634599
11/11/2018 3:00,0.090483821,0.281091661,0.004622487,0.017477742,0.606324289
11/11/2018 4:00,0.094160403,0.277636897,0.004869874,0.017287233,0.606045593
11/11/2018 5:00,0.092264496,0.283843976,0.004625034,0.017142214,0.602124281
11/11/2018 6:00,0.090107829,0.281054736,0.004833001,0.016835438,0.607168996
11/11/2018 7:00,0.09192247,0.283530418,0.004644176,0.016853541,0.603049394
11/11/2018 8:00,0.089343193,0.279832343,0.00607576,0.016774337,0.607974366
11/11/2018 9:00,0.088997461,0.284179707,0.004701324,0.017886987,0.604234521
11/11/2018 10:00,0.088848222,0.283854445,0.00647208,0.01705514,0.603770113
11/11/2018 11:00,0.091206639,0.286338067,0.004737712,0.015616715,0.602100867
11/11/2018 12:00,0.090772106,0.285345304,0.006978032,0.015175373,0.601729185
11/11/2018 13:00,0.093391315,0.290945189,0.004794295,0.014729652,0.596139548
11/11/2018 14:00,0.094166414,0.286739005,0.006950924,0.014900674,0.597242983
11/11/2018 15:00,0.098150082,0.283814843,0.00475964,0.015207775,0.59806766
11/11/2018 16:00,0.0937985,0.286029821,0.006290903,0.01565853,0.598222246
11/11/2018 17:00,0.094218994,0.285461178,0.004641853,0.01579661,0.599881365
11/11/2018 18:00,0.09420961,0.281039236,0.00599803,0.015755474,0.602997649
11/11/2018 19:00,0.093201541,0.283680839,0.00467406,0.016226732,0.602216828
11/11/2018 20:00,0.090228319,0.285441623,0.005876435,0.016660087,0.601793535
11/11/2018 21:00,0.089702182,0.288528884,0.004642735,0.016465853,0.600660345
11/11/2018 22:00,0.090311059,0.283120023,0.005891913,0.017094062,0.603582944
11/11/2018 23:00,0.089848505,0.284652066,0.004665014,0.01771334,0.603121074
12/11/2018 0:00,0.090585044,0.279181838,0.005614526,0.017906051,0.606712541
12/11/2018 1:00,0.091578273,0.281725589,0.004620585,0.01828647,0.603789083
12/11/2018 2:00,0.090101157,0.282004536,0.004942432,0.018277314,0.604674561
12/11/2018 3:00,0.09086999,0.286242797,0.004636299,0.01787734,0.600373575
12/11/2018 4:00,0.089487752,0.281656787,0.00482845,0.017122017,0.606904994
12/11/2018 5:00,0.090720174,0.28719069,0.004615869,0.01710499,0.600368277
12/11/2018 6:00,0.089668161,0.279499313,0.004815849,0.017604575,0.608412102
12/11/2018 7:00,0.094090633,0.279280712,0.004611567,0.017083603,0.604933485
12/11/2018 8:00,0.089669401,0.283913414,0.0062954,0.015913889,0.604207895
12/11/2018 9:00,0.091481933,0.292779169,0.004691961,0.015909159,0.595137778
12/11/2018 10:00,0.089045928,0.291425335,0.006665069,0.016277293,0.596586375
12/11/2018 11:00,0.091176574,0.289854157,0.004716122,0.015801318,0.598451829
12/11/2018 12:00,0.084494066,0.299620824,0.007031307,0.01583648,0.593017323
12/11/2018 13:00,0.089693094,0.295225008,0.004778099,0.015305228,0.594998572
12/11/2018 14:00,0.092771635,0.287785535,0.007143713,0.014487086,0.597812031
12/11/2018 15:00,0.089997754,0.295081604,0.0048031,0.014475046,0.595642496
12/11/2018 16:00,0.084718813,0.293639543,0.006668225,0.016001024,0.598972395
12/11/2018 17:00,0.084648387,0.291474024,0.004722268,0.018305643,0.600849679
12/11/2018 18:00,0.079617712,0.293572421,0.006826722,0.020507421,0.599475723
