Time,FeO,CaO,SiO2,MgO,Al2O3,MnO,P2O5,S,NiO,Cr2O3,Na2O,K2O
15/11/18 07:00,0.03,0.34,0.36,0.06,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 08:00,0.01,0.39,0.34,0.05,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 09:00,0.01,0.39,0.34,0.05,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 10:00,0.01,0.39,0.34,0.05,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 11:00,0.01,0.39,0.34,0.05,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 12:00,0.01,0.39,0.34,0.05,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 13:00,0.01,0.39,0.34,0.05,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 14:00,0.01,0.39,0.34,0.05,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 15:00,0.01,0.39,0.34,0.05,0.18,0.01,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 16:00,0.03,0.35,0.35,0.06,0.19,0.02,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 17:00,0.03,0.35,0.35,0.06,0.19,0.02,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 18:00,0.03,0.35,0.35,0.06,0.19,0.02,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 19:00,0.03,0.35,0.35,0.06,0.19,0.02,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 20:00,0.03,0.35,0.35,0.06,0.19,0.02,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 21:00,0.03,0.35,0.35,0.06,0.19,0.02,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 22:00,0.03,0.35,0.35,0.06,0.19,0.02,0.00,0.01,0.00,0.00,0.00,0.00
15/11/18 23:00,0.03,0.35,0.35,0.06,0.19,0.02,0.00,0.01,0.00,0.00,0.00,0.00
16/11/18 00:00,0.05,0.30,0.37,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 01:00,0.05,0.30,0.37,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 02:00,0.05,0.30,0.37,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 03:00,0.05,0.30,0.37,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 04:00,0.05,0.30,0.37,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 05:00,0.05,0.30,0.37,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 06:00,0.05,0.30,0.37,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 07:00,0.05,0.30,0.37,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 08:00,0.09,0.30,0.35,0.06,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
16/11/18 09:00,0.09,0.30,0.35,0.06,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
16/11/18 16:00,0.04,0.29,0.39,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 17:00,0.04,0.29,0.39,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 18:00,0.04,0.29,0.39,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 19:00,0.04,0.29,0.39,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 20:00,0.04,0.29,0.39,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 21:00,0.04,0.29,0.39,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 22:00,0.04,0.29,0.39,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
16/11/18 23:00,0.04,0.29,0.39,0.06,0.18,0.02,0.00,0.00,0.00,0.00,0.01,0.00
17/11/18 01:00,0.08,0.29,0.37,0.06,0.17,0.02,0.00,0.00,0.00,0.00,0.01,0.00
17/11/18 02:00,0.08,0.29,0.37,0.06,0.17,0.02,0.00,0.00,0.00,0.00,0.01,0.00
17/11/18 03:00,0.08,0.29,0.37,0.06,0.17,0.02,0.00,0.00,0.00,0.00,0.01,0.00
17/11/18 04:00,0.08,0.29,0.37,0.06,0.17,0.02,0.00,0.00,0.00,0.00,0.01,0.00
17/11/18 05:00,0.08,0.29,0.37,0.06,0.17,0.02,0.00,0.00,0.00,0.00,0.01,0.00
17/11/18 06:00,0.08,0.29,0.37,0.06,0.17,0.02,0.00,0.00,0.00,0.00,0.01,0.00
17/11/18 07:00,0.08,0.29,0.37,0.06,0.17,0.02,0.00,0.00,0.00,0.00,0.01,0.00
17/11/18 08:00,0.02,0.35,0.36,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 09:00,0.02,0.35,0.36,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 10:00,0.02,0.35,0.36,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 11:00,0.02,0.35,0.36,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 12:00,0.02,0.35,0.36,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 13:00,0.02,0.35,0.36,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 14:00,0.02,0.35,0.36,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 15:00,0.02,0.35,0.36,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 16:00,0.02,0.34,0.37,0.07,0.18,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 17:00,0.02,0.34,0.37,0.07,0.18,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 18:00,0.02,0.34,0.37,0.07,0.18,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 19:00,0.02,0.34,0.37,0.07,0.18,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 20:00,0.02,0.34,0.37,0.07,0.18,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 21:00,0.02,0.34,0.37,0.07,0.18,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 22:00,0.02,0.34,0.37,0.07,0.18,0.02,0.00,0.01,0.00,0.00,0.01,0.00
17/11/18 23:00,0.02,0.34,0.37,0.07,0.18,0.02,0.00,0.01,0.00,0.00,0.01,0.00
18/11/18 00:00,0.02,0.38,0.33,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
18/11/18 01:00,0.02,0.38,0.33,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
18/11/18 02:00,0.02,0.38,0.33,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
18/11/18 03:00,0.02,0.38,0.33,0.07,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.00
